 ID,Date,Parameter/Paramètre,Value/Valeur,Symbol/Symbole
01ED003,1968-06-24,discharge/débit,68.0,
01ED003,1968-06-25,discharge/débit,64.0,
01ED003,1968-06-26,discharge/débit,74.2,
01ED003,1968-06-27,discharge/débit,60.0,
01ED003,1968-06-28,discharge/débit,66.8,
01ED003,1968-06-29,discharge/débit,66.0,
01ED003,1968-06-30,discharge/débit,65.1,
01ED003,1968-07-01,discharge/débit,24.6,
01ED003,1968-07-02,discharge/débit,58.6,
01ED003,1968-07-03,discharge/débit,67.7,
01ED003,1968-07-04,discharge/débit,59.5,
01ED003,1968-07-05,discharge/débit,68.5,
01ED003,1968-07-06,discharge/débit,63.4,
01ED003,1968-07-07,discharge/débit,59.5,
01ED003,1968-07-08,discharge/débit,71.9,
01ED003,1968-07-09,discharge/débit,70.8,
01ED003,1968-07-10,discharge/débit,62.0,
01ED003,1968-07-11,discharge/débit,61.4,
01ED003,1968-07-12,discharge/débit,60.0,
01ED003,1968-07-13,discharge/débit,63.1,
01ED003,1968-07-14,discharge/débit,63.4,
01ED003,1968-07-15,discharge/débit,65.7,
01ED003,1968-07-16,discharge/débit,72.2,
01ED003,1968-07-17,discharge/débit,61.7,
01ED003,1968-07-18,discharge/débit,72.5,
01ED003,1968-07-19,discharge/débit,59.2,
01ED003,1968-07-20,discharge/débit,39.6,
01ED003,1968-07-21,discharge/débit,32.6,
01ED003,1968-07-22,discharge/débit,54.4,
01ED003,1968-07-23,discharge/débit,63.7,
01ED003,1968-07-24,discharge/débit,62.0,
01ED003,1968-07-25,discharge/débit,65.7,
01ED003,1968-07-26,discharge/débit,67.7,
01ED003,1968-07-27,discharge/débit,61.2,
01ED003,1968-07-28,discharge/débit,41.9,
01ED003,1968-07-29,discharge/débit,68.2,
01ED003,1968-07-30,discharge/débit,70.5,
01ED003,1968-07-31,discharge/débit,64.3,
01ED003,1968-08-01,discharge/débit,66.0,
01ED003,1968-08-02,discharge/débit,69.4,
01ED003,1968-08-03,discharge/débit,61.7,
01ED003,1968-08-04,discharge/débit,35.7,
01ED003,1968-08-05,discharge/débit,46.4,
01ED003,1968-08-06,discharge/débit,41.1,
01ED003,1968-08-07,discharge/débit,47.6,
01ED003,1968-08-08,discharge/débit,47.3,
01ED003,1968-08-09,discharge/débit,43.6,
01ED003,1968-08-10,discharge/débit,47.0,
01ED003,1968-08-11,discharge/débit,41.6,
01ED003,1968-08-12,discharge/débit,43.6,
01ED003,1968-08-13,discharge/débit,43.9,
01ED003,1968-08-14,discharge/débit,40.8,
01ED003,1968-08-15,discharge/débit,47.9,
01ED003,1968-08-16,discharge/débit,42.8,
